what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1320507960308
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1320507960309
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1320507960316
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1320507960334
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1320507960339
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1320507960349
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1320507960355
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1320507960364
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1320507960365
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1320507960368
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1320507960369
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1320507960380
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1320507960381
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1320507960385
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1320507960393
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1320507960393
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1320507960393
started,bundle,org.eclipse.emf.ecore.edit,2.7.0.v20110913-1156,"org.eclipse.emf.ecore.edit",1320507960393
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1320507960401
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1320507960401
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1320507960401
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1320507960401
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1320507960402
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1320507960411
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1320507960417
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1320507960421
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1320507960427
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1320507960427
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1320507960434
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1320507960437
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1320507960449
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1320507960456
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1320507960456
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1320507960457
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1320507960468
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1320507960469
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1320507960469
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1320507960474
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1320507960475
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1320507960490
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1320507960498
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1320507960506
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1320507960518
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1320507960531
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1320507960548
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1320507960558
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1320507960567
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1320507960572
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1320507960572
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1320507960586
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1320507960587
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1320507960588
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1320507960588
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1320507960596
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1320507960605
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1320507960611
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1320507960611
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1320507960624
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1320507960686
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1320507960702
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1320507960715
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1320507960723
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1320507960743
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1320507960754
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1320507960764
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1320507960776
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1320507960792
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1320507960804
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1320507960818
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1320507960825
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1320507960825
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1320507960826
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1320507960827
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1320507960838
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1320507960845
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1320507960856
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320507960871
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1320507960878
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320507960888
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1320507960896
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1320507960897
started,bundle,org.eclipse.gmf.runtime.common.core,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.common.core",1320507960905
started,bundle,org.eclipse.gmf.runtime.common.ui,1.5.0.v20101221-2230,"org.eclipse.gmf.runtime.common.ui",1320507960917
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.core",1320507960928
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.5.0.v20110309-2230,"org.eclipse.gmf.runtime.diagram.ui",1320507960938
started,bundle,org.eclipse.jet.ui,1.0.0.v200906120900,"org.eclipse.jet.ui",1320507960946
started,bundle,org.eclipse.papyrus.diagram.common,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.common",1320507960974
started,bundle,org.eclipse.papyrus.diagram.component,0.9.0.v201109161105,"org.eclipse.papyrus.diagram.component",1320507960974
started,bundle,org.eclipse.papyrus.diagram.composite,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.composite",1320507960974
started,bundle,org.eclipse.papyrus.diagram.deployment,0.9.0.v201109161105,"org.eclipse.papyrus.diagram.deployment",1320507960974
started,bundle,org.eclipse.papyrus.diagram.menu,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.menu",1320507960974
started,bundle,org.eclipse.papyrus.log,0.8.1.v201109161105,"org.eclipse.papyrus.log",1320507960975
started,bundle,org.eclipse.papyrus.modelexplorer,0.8.1.v201109161105,"org.eclipse.papyrus.modelexplorer",1320507960988
started,bundle,org.eclipse.papyrus.preferences,0.8.1.v201109161105,"org.eclipse.papyrus.preferences",1320507960992
started,bundle,org.eclipse.papyrus.sysml,0.8.1.v201109161105,"org.eclipse.papyrus.sysml",1320507960992
started,bundle,org.eclipse.papyrus.sysml.diagram.common,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.diagram.common",1320507961000
started,bundle,org.eclipse.papyrus.sysml.diagram.internalblock,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.diagram.internalblock",1320507961081
started,bundle,org.eclipse.papyrus.sysml.edit,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.edit",1320507961100
started,bundle,org.eclipse.papyrus.table.menu,0.8.1.v201109161105,"org.eclipse.papyrus.table.menu",1320507961101
started,bundle,org.eclipse.papyrus.uml.standard,0.8.1.v201109161105,"org.eclipse.papyrus.uml.standard",1320507961126
started,bundle,org.eclipse.papyrus.uml.standard.edit,0.8.1.v201109161105,"org.eclipse.papyrus.uml.standard.edit",1320507961146
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1320507961161
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1320507961182
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1320507961195
started,bundle,org.eclipse.uml2.uml,3.2.100.v201108110105,"org.eclipse.uml2.uml",1320507961208
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1320507961220
os,sysinfo,,,"linux",1320507961227
arch,sysinfo,,,"x86_64",1320507961227
ws,sysinfo,,,"gtk",1320507961227
locale,sysinfo,,,"fr_FR",1320507961227
processors,sysinfo,,,"2",1320507961227
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1320507961227
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1320507961227
java.specification.name,sysinfo,,,"Java Platform API Specification",1320507961227
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320507961227
java.specification.version,sysinfo,,,"1.6",1320507961227
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1320507961227
java.version,sysinfo,,,"1.6.0_20",1320507961227
java.vm.info,sysinfo,,,"mixed mode",1320507961227
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1320507961227
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320507961227
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320507961227
java.vm.specification.version,sysinfo,,,"1.0",1320507961227
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320507961227
java.vm.version,sysinfo,,,"19.0-b09",1320507961227
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1320507961238
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1320507963505
started,bundle,org.eclipse.amp.axf.core,0.9.0.v20110610-0008,"org.eclipse.amp.axf.core",1320507963510
started,bundle,org.eclipse.emf.validation.examples.adapter,1.2.0.v200901271722,"org.eclipse.emf.validation.examples.adapter",1320507963556
started,bundle,org.eclipse.emf.examples.library,2.5.0.v20100521-1846,"org.eclipse.emf.examples.library",1320507963575
started,bundle,org.eclipse.emf.validation,1.4.0.v20100428-2315,"org.eclipse.emf.validation",1320507963613
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1320507963727
started,bundle,org.eclipse.papyrus.sysml.modelexplorer,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.modelexplorer",1320507963745
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.8.1.v201109161105,"org.eclipse.papyrus.ui.perspectiveconfiguration",1320507963758
started,bundle,org.eclipse.papyrus.uml.menu,0.8.1.v201109161105,"org.eclipse.papyrus.uml.menu",1320507963773
started,bundle,org.eclipse.xtext.gmf.glue,0.8.1.v201109161105,"org.eclipse.xtext.gmf.glue",1320507963798
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1320507964180
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1320507964511
started,bundle,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.adt",1320507964515
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1320507964640
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1320507964705
started,bundle,com.android.ide.eclipse.traceview,15.0.0.v201110251216-213216,"com.android.ide.eclipse.traceview",1320507964705
started,bundle,org.eclipse.emf.facet.widgets.nattable,0.1.1.v201109140754,"org.eclipse.emf.facet.widgets.nattable",1320508001362
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320508001374
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1320508001446
started,bundle,org.eclipse.papyrus.sasheditor,0.8.1.v201109161105,"org.eclipse.papyrus.sasheditor",1320508001451
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1320508001452
started,bundle,org.eclipse.papyrus.core,0.8.1.v201109161105,"org.eclipse.papyrus.core",1320508001452
started,bundle,org.eclipse.gef,3.7.1.v20110830-1143,"org.eclipse.gef",1320508001504
started,bundle,org.eclipse.gmf.runtime.notation,1.5.0.v20110309-2159,"org.eclipse.gmf.runtime.notation",1320508001567
started,bundle,org.eclipse.papyrus.editor,0.8.1.v201109161105,"org.eclipse.papyrus.editor",1320508001599
started,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.ui.actions",1320508001673
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.type.core",1320508001787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320508001919
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320508003579
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1320508004476
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1320508004511
started,bundle,org.eclipse.papyrus.sasheditor.di,0.8.1.v201109161105,"org.eclipse.papyrus.sasheditor.di",1320508004626
error,log,,,"Unexpected Error",1320508004638
error,log,,,"Unexpected Error",1320508004641
started,bundle,org.eclipse.papyrus.core.adaptor.gmf,0.8.1.v201109161105,"org.eclipse.papyrus.core.adaptor.gmf",1320508004691
started,bundle,org.eclipse.draw2d,3.7.1.v20110830-1143,"org.eclipse.draw2d",1320508004769
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1320508004880
started,bundle,org.eclipse.emf.workspace,1.5.1.v20110823-1800,"org.eclipse.emf.workspace",1320508004921
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.commands.core",1320508004924
started,bundle,org.eclipse.papyrus.validation,0.8.1.v201109161105,"org.eclipse.papyrus.validation",1320508004925
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20110829-1916,"org.eclipse.emf.ecore.change",1320508004938
started,bundle,org.eclipse.papyrus.sysml.service.types,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.service.types",1320508004987
started,bundle,org.eclipse.papyrus.uml.service.types,0.8.1.v201109161105,"org.eclipse.papyrus.uml.service.types",1320508005195
